source,source_code,doc_class,confidence,mechanism,needs_review,docs_in_snapshot,observed_meaning,notes,snapshot_evidence_date,proposed_by,proposed_date,status
nsm,MSCL,notice,low,code,true,40,"Miscellaneous: admission forms, buybacks, powers of attorney, contact details",REVIEW: overrides shipped for an offering memorandum and a drawdown prospectus,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,ODP,base_prospectus,high,code,false,1,Observed as base offering circular for a GMTN programme,n=1,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,PDI,prospectus,high,code,false,113,FCA NSM headline: publication of a prospectus / offering circular,,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,PFT,final_terms,high,code,false,251,FCA NSM headline: publication of final terms / pricing supplement,,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,PRE,annual_report,medium,code,false,2,Observed as financial reports,n=2,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,PSP,supplement,high,code,false,67,FCA NSM headline: publication of supplementary prospectus,,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,STR,notice,high,code,false,1,Investor presentation slides,n=1,2026-07-16,fable-architect-session,2026-07-19,proposed
nsm,TEN,notice,high,code,false,1,Tender offer announcement,n=1,2026-07-16,fable-architect-session,2026-07-19,proposed
pdip,<NULL>,,low,title_rules_only,true,664,PDIP rows carry no doc_type; classification is by title rules only,664 rows; unmatched rows stay unclassified and flagged for review,2026-07-16,fable-architect-session,2026-07-19,proposed
pdip,Bond,prospectus,medium,title_rules_then_code,false,58,PDIP instrument label; observed as prospectuses and prospectus supplements,Title rules run first (supplements reroute); fallback prospectus,2026-07-16,fable-architect-session,2026-07-19,proposed
pdip,Bond; Loan,,low,title_rules_then_code,true,1,PDIP composite label; the single member is a restructuring agreement,n=1; title rules route it to restructuring_document,2026-07-16,fable-architect-session,2026-07-19,proposed
pdip,Loan,loan_documentation,high,title_rules_then_code,false,100,PDIP instrument label; observed as loan agreements and related contracts,Title rules run first; this code is the fallback when no rule matches,2026-07-16,fable-architect-session,2026-07-19,proposed
